species,cell_id,n_obs_baseline,present_baseline,n_obs_recent,present_recent,outcome,extinction,colonization,persistence,temp_baseline,temp_recent,temp_delta,temp_baseline_max,cpi_baseline,cpi_recent,cpi_delta
Bombus magnus,-2_47,2.0,1,0.0,0,-1,1,0,0,9.104153633117676,11.134865760803223,2.030712127685547,20.967193603515625,0.4231407297278096,0.6808589720516256,0.257718242323816
Bombus magnus,-2_50,0.0,0,3.0,1,2,0,1,0,11.991334915161133,13.224273681640625,1.2329387664794922,20.734771728515625,0.7895537112302675,0.9460263138497915,0.156472602619524
Bombus magnus,-3_49,4.0,1,1.0,1,1,0,0,1,10.40583610534668,11.856897354125977,1.4510612487792969,20.299224853515625,0.5883376152109917,0.7724922028756741,0.1841545876646824
Bombus magnus,-4_47,2.0,1,3.0,1,1,0,0,1,13.649563789367676,15.053909301757812,1.4043455123901367,26.326324462890625,1.0,1.1782258805343424,0.1782258805343424
Bombus magnus,-4_49,1.0,1,0.0,0,-1,1,0,0,9.322877883911133,10.782659530639648,1.4597816467285156,18.678131103515625,0.45089908538028145,0.6361603811801038,0.1852612957998223
Bombus magnus,-4_50,1.0,1,1.0,1,1,0,0,1,11.204657554626465,12.420002937316895,1.2153453826904297,19.348052978515625,0.6897162680649467,0.8439560894424474,0.1542398213775007
Bombus magnus,-5_49,2.0,1,2.0,1,1,0,0,1,8.755682945251465,10.272171020507812,1.5164880752563477,18.526519775390625,0.3789162175707829,0.5713741420258496,0.19245792445506665
Bombus magnus,-5_50,9.0,1,2.0,1,1,0,0,1,9.462301254272461,10.608719825744629,1.146418571472168,17.179840087890625,0.4685933441865931,0.6140856447343435,0.14549230054775036
Bombus magnus,-6_49,2.0,1,33.0,1,1,0,0,1,7.914957046508789,9.289892196655273,1.3749351501464844,16.925933837890625,0.2722194593517745,0.4467128626136346,0.17449340326186008
Bombus magnus,-6_50,3.0,1,32.0,1,1,0,0,1,9.921079635620117,11.126441955566406,1.205362319946289,17.580230712890625,0.5268170364791286,0.6797899045803121,0.1529728681011835
Bombus magnus,-7_49,2.0,1,1.0,1,1,0,0,1,8.275877952575684,9.84202766418457,1.5661497116088867,18.562164306640625,0.3180240321719958,0.516784528743125,0.19876049657112915
Bombus magnus,-7_50,0.0,0,6.0,1,2,0,1,0,9.970714569091797,11.193792343139648,1.2230777740478516,17.859527587890625,0.533116219725136,0.6883373610457375,0.1552211413206015
Bombus magnus,-8_47,2.0,1,0.0,0,-1,1,0,0,12.310458183288574,13.559911727905273,1.2494535446166992,23.076568603515625,0.830053734165656,0.9886222318831914,0.15856849771753545
Bombus magnus,-8_49,0.0,0,1.0,1,2,0,1,0,10.892032623291016,12.23859691619873,1.3465642929077148,19.325836181640625,0.6500409508636837,0.8209338007230639,0.17089284985938014
